ID_Perfume,perfume,brand,is_lokal,Notes
HRMN-0185,Matcha Éclat,Carl & Claire,True,"green tea, bergamot, orange, jasmine, matcha, orange blossom, mossy, cedarwood"
HRMN-0186,Enchantée,Carl & Claire,True,"citrus, ginger, peach, white flowers, jasmine, tuberose, heliotrope, ambrette, musk, solar, gourmand"
HRMN-0187,Mystical Mirage,Carl & Claire,True,"oud, turkish rose, violet, oud, vanilla"
HRMN-0188,Into the Woods,Carl & Claire,True,"violet, lotus, verbena, lily of the valley, tea rose, sandalwood, amber, musk"
HRMN-0189,Garden of Eden,Carl & Claire,True,"saffron , jasmine, amber, wood, cedarwood"
HRMN-0190,Take My Hand,Carl & Claire,True,"bergamot, fruity, floral, floral, patchouli, ambery, animalic"
HRMN-0191,Morning Glory,Carl & Claire,True,"citrus, white floral, fruity, floral, jasmine, lily of the valley, moss, musky, oriental"
HRMN-0192,A Love Like This,Carl & Claire,True,"lily, aromatic, eucalyptus, ginger, lily, ambery, jasmine, cedarwood, musky, patchouli"
HRMN-0193,Dancing With My Shadow,Carl & Claire,True,"floral, fresh, herbaceous, floral, oriental, rose, ambery, balsamic, musky"
HRMN-0194,Delicate Embrace,Carl & Claire,True,"citrus, freesia, fruity, pear, lily of the valley, rose, ambery, musky"
HRMN-0195,Spring Sonata,Carl & Claire,True,"citrus, rose, peony, jasmine, fruity, floral, fruity, lactonic, ambery, floral, musky"
HRMN-0196,Talking to the Moon,Carl & Claire,True,"fruity, orange blossom, jasmine, tuberose, woody, ambery, musky, sweet"
HRMN-0197,Song of the Youth,Carl & Claire,True,"citrus, floral, fruity, magnolia, musky, iris, vanilla, ambery, animalic, moss"
HRMN-0198,Black Dahlia,Carl & Claire,True,"white floral, gourmand, coffee, vanilla, floral, woody, ambery, musky, sweet"
HRMN-0199,Enigma,Eloi Coco,True,"blackcurrant lmr, raspberry, jasmine lmr, rose lmr, patchouli indonesia lmr, tonka bean lmr"
HRMN-0200,Rosie Posie,Eloi Coco,True,"cardamom, plum, rose lmr, cedarwood, vanilla bean lmr, amber"
