perfume,brand,top notes,mid notes,base notes
Magda,Lubin,"Cherry, Blackcurrant Syrup, Pomegranate, Mandarin Orange","Tunisian Orange Blossom, Indian Tuberose, Gardenia, Cinnamon","Amaretto, Vanilla, Sandalwood, Peru Balsam"
Varens Original Borneo Dream,Ulric De Varens,Watermelon,"Ylang-ylang, Jasmine",Virginia Cedar
Zwinger,Rammstein,Animal Notes,Animal Notes,Animal Notes
Pretty Glamorous,Avon,"Lemon, Bergamot",Peony,Sandalwood
Wellness by Clean Harmony,Clean,"Italian Lemon, Eucalyptus, Rosemary","Jasmine, Orange Blossom, Rose","Cedar, Musk"
Amabile,Xerjoff,"Green Apple, Amalfi Lemon, Calabrian Bergamot, Orange Blossom","Guatemalan Cardamom, Pink Pepper, Jasmine","Mexican Vanilla, Atlas Cedar, White Musk, Patchouli"
Les Fashion Stiletto,Bi Es,"Almond, Bergamot","Rose, Iris",Cedar
Faberlic by Valentin Yudashkin Rose,Faberlic,"Watery Notes, Water Lily","Lily-of-the-valley, Peony, Cyclamen, Pear",Musk
Velvet Amber,Fragrance Du Bois,"Geranium, Lemon, Cardamom, Bergamot","Leather, Cypriol Oil or Nagarmotha, Saffron, Rose","Cypriol Oil or Nagarmotha, Agarwood (oud), Patchouli, Amber, Sandalwood, Musk, Vanilla"
Delicious Kisses,Haute Fragrance Company Hfc,"Raspberry, Violet, Bulgarian Rose","Papyrus, Iris, Sandalwood","Patchouli, Cedar, Ambrette (musk Mallow), Musk"
Lulucastagnette,Lulu Castagnette,"Fig, Bergamot","Cotton Candy, Rose, Jasmine, Magnolia","Vanilla, Sandalwood, Musk, Patchouli, Cedar"
Paper,Commodity,Iso E Super,Amber,Sandalwood
Lili Fantasy,Juliette Has a Gun,Bubble Gum,"Tuberose, Jasmine","Ambroxan, Amber"
Dodo,Zoologist Perfumes,"Fern, Litchi, Lime, Raspberry","Ambergris, Balsam Fir, Geranium, Rose","Oakmoss, Musk, Sandalwood, Patchouli, Amber"
Water Ivy,Brocard,"Watery Notes, Bergamot, Peach","Ivy, Jasmine, Bellflower, Peony","White Musk, Moss"
Collapse of Hedonism Krakh Gedonizma,Khaikin,"Cognac, Smoke, Metallic Notes","Dark Chocolate, Leather, Rose, Smoke","Dried Plum, Immortelle, Vetiver, Texas Cedar, Ambergris, Ash"
Jamaica 2 Woman,Puma,"Pink Grapefruit, Melon, Peach","Violet Leaf, Jasmine, Freesia, Plum","Patchouli, Musk, Vanilla"
Moscow Waltz Moskovskij Val S,Ladanika,"Raspberry, Violet, Freesia","Damask Rose, Rose Hip, Lilac","White Musk, Iris, Patchouli"
Ume,Euphorium Brooklyn,"Plum, Plum Blossom, Green Tea, Apricot, Anise","Oakmoss, Yuzu, Hinoki Wood, Incense, Cedar","Snow, Earthy Notes"
Musk Makkah,El Nabil,"Strawberry, Raspberry","Almond, Cinnamon, Vanilla","Musk, Amber"
Enjoy,Franck Boclet,"Bergamot, Lemon, Orange","Nutmeg, Rose, Geranium, Pepper, Violet, Cinnamon, Jasmine","Incense, Ambroxan, White Musk"
Cocaine,Franck Boclet,"Caramel, Tobacco, Bitter Orange, Red Berries","Tuberose, Lily, Orchid","Monoi Oil, Vanilla, Patchouli"
Plumes,Ds Durga,"Laurels, Watery Notes, Coconut","Frangipani, Tuberose, Jasmine, Vine","Vetyver, Amyris, Musk"
Le Male Xmas Limited Edition,Jean Paul Gaultier,Mint,Lavender,Vanilla
Floratta in Gold,O Boticario,"Peach, Pineapple, Orchid, Neroli","Jasmine, Heliotrope, Lily-of-the-valley","Amber, Vanille, Sandalwood, Musk"
Prada Paradoxe Virtual Flower,Prada,Bergamot,"Jasmine, Neroli","Musk, Ambrette"
Glacier Ice,Oriflame,"Bergamot, Tangerine, Apple","Cypress, Lemongrass, Ivy","Cedar, Oakmoss, Guaiac Wood"
U,Adolfo Dominguez,"Bergamot, Raspberry, Black Currant, Mandarin Orange","Rose, Lily-of-the-valley, Freesia, Magnolia","Sandalwood, Patchouli, Virginia Cedar"
Alatau,Faberlic,"Water Notes, Mint, Amalfi Lemon, Red Berries","Hyacinth, Lily-of-the-valley, Violet, Orange Blossom, Wild Rose","Pine, Oak Moss, Musk, Vetiver, Orris Root, Amber, Patchouli"
Walk of Shame,Antonio Maretti,"Bergamot, Pineapple, Aldehydes","Rose, Gardenia","Cedar, Ambrox Super"
Gisada Donna,Gisada,"Cotton Candy, Iris, Violet, Sicilian Bergamot","Patchouli, Jasmine Sambac, Benzoin, White Peach Blossom","Musk, Sandalwood, Coffee, Tuberose"
Mercedes Benz for Her Fanciful Edition,Mercedes Benz,"Green Mandarin, Lemon","Freesia, Jasmine, Rose","Incense, White Musk, Frangipani, Amberwood"
Eclat D Arpege Limited Edition,Lanvin,"Mandarin Orange, Bergamot, Grapefruit","Rose, Peach, African Orange Flower, Jasmine","Musk, Virginia Cedar, Vetiver, Amber"
Malta,Thera Cosmeticos,"Sea Notes, Bergamot","Rosemary, Sage, Geranium","Incense, Patchouli"
Sagira,Spirit of Kings,"Grapefruit, Peach, Mandarin Orange, Toffee","Violet, Damask Rose, Rose, Patchouli","Musk, Moss"
Eva,Eva Longoria,"Citruses, Bergamot, Aldehydes, Neroli","Lily-of-the-valley, Violet, Freesia, Jasmine","Musk, Sandalwood, Amber"
Cologne De La Terre,Bortnikoff,"Bergamot, Litsea Cubeba, Pear","Green Apple, Beeswax, Saffron","Ambergris, Natural Musk, Sandalwood"
Scentini Citrus Chill,Avon,"Blood Orange, Mandarin Orange","Guava, Passion Flower, Apple Blossom","Musk, Amber"
Perle Imperiale,Guerlain,Bergamot,"Fig, Powdery Notes","Sandalwood, Leather, Myrrh"
Banho De Sorte,O Boticario,"Italian Lemon, Cardamom, Pink Pepper, Ginger, Mandarin Orange","Clove Leaf, Geranium, Violet","Moss, Patchouli, Virginian Cedar, Sandalwood, Amber"
X2o Extraordinary for Women,Ted Baker,"Grapefruit, Star Anise","Magnolia, Mirabelle Plum, Water Lily","Precious Woods, Musk"
Nafnaf Too,Nafnaf,"Mango, Pear, Mandarin Orange","Peony, Jasmine, Neroli","Patchouli, Musk"
Scent of Kiss Poplove,Armand Basi,"Pear, Watermelon, Bergamot","Jasmine, White Lily","Musk, White Wood, Cashmeran"
Lotus Oud,Lotus,"Agarwood (oud), Palisander Rosewood, Cardamom","Vetiver, Sandalwood","Tonka Bean, Amber"
Mexx Waterlove Man,Mexx,"Pineapple, Melon, Lime, Bergamot, Apple","Violet, Lily-of-the-valley, Jasmine","Peach, Precious Woods, Amber, Vanilla"
Rose,Aaron Terence Hughes,Turkish Rose,"Madagascar Vanilla, Tonka Bean, Spices, Red Berries, Lotus, Oakmoss","Agarwood (oud), Musk, Patchouli"
Pm,Fragrance Du Bois,"Indian Tuberose, Floral Notes, Juniper Berries, Cardamom, Lemon","Leather, Cedar, Orris Root, Indonesian Patchouli Leaf","Labdanum, Woody Notes, Benzoin, Amber"
Fleurs D Ombre Bergamote,Jean Charles Brosseau,"Amalfi Lemon, Bergamot, Bitter Orange","Rosemary, Clove, Jasmine, Heliotrope","Oakmoss, Patchouli, Amber, Tonka Bean"
English Dahlia Fragrance Mist,Yardley,"Green Notes, Citruses, Apple, Neroli, Floral Notes","Rose, Peony, Dahlia","Patchouli, Cedar, Musk"
Gin Flower,Solstice Scents,"Juniper Berries, Lime, Citron","Black Elder, Osmanthus, Honey, Vanilla, Apricot, Pear",Sandalwood
To Be Goodvibes for Him,Police,"Clary Sage, Bergamot, Black Pepper","Jasmine, Juniper, Magnolia","Amberwood, Tobacco, Vetiver"
Tank Custom for Him,Replay,"Elemi, Ginger, Bergamot, Yuzu, Cardamom","Anise, Plum, Vetiver, Lavender, Patchouli, Wild Jasmine","Tonka Bean, Musk, Sandalwood, Amber"
Miel Extase,Navitus Parfums,"Honey, Dried Fruits, Apricot","Ginger, Violet, Rum, Saffron","Toffee, Madagascar Vanilla, Tonka Bean, Dark Chocolate, Caramel"
Oud Mafia,Morph,"Saffron, Nutmeg, Thyme","Oud, Incense, Gurjan Balsam, Cistus Incanus","Orcanox, Patchouli, Vetiver"
Santa Casa,Filippo Sorcinelli,"Incense, Orange, Bergamot","Sea Notes, Tobacco, French Rose","Musk, Benzoin, Vanilla, Sandalwood, Ambrette, Amber"
Absolute Woman,Bruno Banani,"Litchi, Pink Pepper, Pink Grapefruit, Blackberry, Bergamot","Rose, Marigold, Jasmine, Orange Blossom","Cedar, Amber, Vanilla, Moss, Patchouli, Musk"
Full Speed Power,Avon,Lemon,Rosemary,Cedar
Summer White Bright,Avon,Lemon,Lily-of-the-valley,Tagetes
Outrageous Limited Edition 2017,Frederic Malle,"Green Apple, Grapefruit, Lime, Cinnamon, Mint","Neroli, Orange Blossom","Aldehydes, Musk, Ambroxan, Cedar"
Bleu Abysse,Les Parfums De Rosine,"Elemi, Bergamot, Cassis","Mineral Notes, Rose","Algae, Vetiver, Patchouli, Agarwood (oud), Incense"
Amo Ferragamo Oriental Wood,Salvatore Ferragamo,"Guatemalan Cardamom, Apple, Lemon","Rose, Saffron, Jasmine","Resins, Musk, Vanilla"
Black Opium Storm Illusion,Yves Saint Laurent,"Pink Pepper, Orange Blossom, Mandarin Orange, Bergamot, Pear","Tuberose, Licorice, Coffee, Bitter Almond, Jasmine Sambac","Cashmirwood, White Musk, Vanilla, Patchouli, Cedar"
Till Sunrise,Zara,Galbanum,Cypress,Tonka Bean
Life Is Now for Her,Mexx,"Pear, Guava, Orange","Iris, Jasmine, White Lily","Musk, Vanilla, Cedar"
Sacromonte,Ricardo Ramos Perfumes De Autor,"Grass, Fig, Basil","Lily-of-the-valley, Plum, Jasmine, Black Amber","Hay, White Musk, Amber"
Absolument Femme,Absolument Parfumeur,"Grapefruit, Tangerine, Bergamot","Wormwood, Violet, Magnolia, Spices, Cardamom, Rose, Nutmeg, Lily-of-the-valley, Ylang-ylang, Jasmine","White Musk, Sandalwood, Amber"
The Majestic Oud,Alexandre J,"Black Currant, Raspberry, Apple, Bergamot, Lemon, Melon","Patchouli, Sage","Agarwood (oud), Amber, Musk"
Body,Kkw Fragrance,"Peach, Bergamot, Pink Pepper, Green Mandarin","Jasmine Sambac, Ylang-ylang, Turkish Rose","Australian Sandalwood, Musk, Haitian Vetiver, Amber"
Evolution De L Homme Matin,Parfums Vintage,"Grapefruit, Lime, Juniper Berries, Thyme, Lemon, Pink Pepper, Artemisia, Bergamot","Patchouli, Cedar, Jasmine, Black Currant, Apple, Rose, Cypriol Oil or Nagarmotha","Ambergris, Musk, Birch, Vanilla"
Musk Is Great,Zimaya,"Bergamot, Mandarin Orange","Magnolia, Black Currant","Musk, White Musk, Sandalwood"
Libeccio,Paolo Gigli,"Lilac, Rose, Jasmine, Eucalyptus, Cyclamen, Mint","Raspberry, Iris, Peach","Cedar, Amber, Sandalwood, Vanilla"
Kings Wood,Shay Blue London,Pineapple,"Fern, Sichuan Pepper","Oak, Leather"
Stone Supernova for Him,Replay,"Fruity Notes, Citruses, Lavender, Watery Notes","Cashmere Wood, Rose, Oakmoss","Tonka Bean, Sandalwood, Cedar"
Pussy,Rammstein,"Animal Notes, Pomelo, Hyacinth","Tuberose, Jasmine","Transparent Woods, Palisander Rosewood"
Up to You for Her,Avon,"Peach, Mandarin Orange, Freesia","Magnolia, Peony, Lily-of-the-valley","Sandalwood, Leather, Cedar"
Viva by Fergie,Avon,"Green Notes, Bergamot","Lavender, Mint, Narcissus","Vetiver, Woody Notes, White Musk"
Incandessence Flame,Avon,Pink Pepper,"Gardenia, Jasmine",Musk
Defy,Calvin Klein,"Bergamot, Lavender",Vetiver,Amber
Zafferano Collector Edition,Acqua Di Parma,"Bitter Orange, Mandarin Orange, Coriander, Bergamot","Saffron, Geranium, Rose, Orange Blossom, Jasmine Sambac","Vanilla, Patchouli, Tonka"
Aqua Universalis Cologne Forte,Maison Francis Kurkdjian,Bergamot,"Sweet Pea, Mock Orange",White Musk
Mango Manga,Montale,"Mango, Orange","Ylang-ylang, Jasmine, Neroli","Agarwood (oud), Oak Moss, Vetyver, Virginia Cedar"
Intensa,Natura,"Apple, Citruses",Floral Fruity Notes,Musk
Xtreme Xplosion,O Boticario,"Cardamom, Cinnamon, Mandarin Orange, Bergamot","Mimosa, Jasmine, Sage, Sandalwood","Vanille, Musk, Amber, Virginia Cedar"
Alaska,Axe,"Bergamot, Grapefruit, Pineapple, Melon","Lavender, Jasmine","Sandalwood, Amber"
Intense,Faberlic,"Juniper, Green Notes","Violet, Cardamom, Mint, Jasmine","Woody Notes, Oakmoss"
Oh My Deer,Baruti,"Black Pepper, Sichuan Pepper, Aldehydes","Metallic Notes, Lily-of-the-valley","Animal Notes, Incense, Musk, Amber, Vanilla"
Citrus Paradisi Cologne,Czech Speake,"Grapefruit, Spices, Green Notes","Oakmoss, Coriander, Pepper","Patchouli, Amber"
Kashaf,Ajmal,Rose,"Black Currant, Raspberry, Saffron","Agarwood (oud), Musk, Sandalwood"
Cassandra Bleu,Jeanne Arthes,Bergamot,"Ylang-ylang, Rose","Civetta, Musk"
Fairy Dust,Paris Hilton,"Peony, Orange Blossom","Gardenia, Peach, Lotus","Musk, Vanilla, Patchouli"
Luxurious Peony,Pokrovka Trading House,"Peony, Lemon, Litchi","Rose, Pink Pepper, Freesia","Ambrette (musk Mallow), Vetiver, Patchouli"
Chocolate Wasted,Haught Parfums,"Dark Chocolate, Cacao Pod","Rum, Coffee, Brown Sugar","Bourbon Vanilla, Styrax, Tonka Bean, Labdanum"
Inspire,Ellen Tracy,"Honeysuckle, Cyclamen, Jasmine, Gardenia, Peony, Carnation, Violet","Lily-of-the-valley, Lemon, Bergamot, Melon","Musk, Sandalwood"
Black Mafia,Bybozo,Green Notes,"Woody Notes, Tobacco, Coffee",Incense
Musk Al Ghazal,Al Rehab,"Lavender, Chrysanthemum, Hibiscus Seed","Geranium, Ambrette (musk Mallow)","Black Musk, Almond, Galbanum"
Juice,Commodity,"Violet Leaf, Raspberry, Strawberry","Bulgarian Rose, Cyclamen","Rhubarb, Amberwood"
Mon Petit,Lolita Lempicka,"Marshmallow, Anise","Lime (linden) Blossom, Freesia, Orange Blossom","Confetti (sugared Almonds), White Musk"
Dark Wash,Zara,Sesame,Watery Notes,Sandalwood
Mustang for Men Eau De Toilette,Mustang,"Grapefruit, Lemon Zest, Tarragon","Lavender, Mint, Galbanum","Musk, Sandalwood, Patchouli"
For Woman,Bi Es,"Pink Pepper, Apple Blossom","Freesia, Jasmine, Rose","Musk, Sandalwood, Cedar"
Vamp Black,Pupa,"Cinnamon, Rose, Black Pepper","Wild Berries, Jasmine, Labdanum, Sandalwood","Patchouli, Vanilla, Musk, Amber"
Uefa Champions League Dare Edition,Adidas,"Mint, Sicilian Bergamot, Elemi","Cardamom, Lavender, African Geranium","Vetiver, Patchouli, Balsam Fir"
Almost a Virgin,Antonio Maretti,"Red Berries, Apple, Pink Pepper","Rose, Geranium","Musk, Patchouli, Sandalwood"
Mi Scusi,Antonio Maretti,"Melon, Peach, Lemon","Rose, Orange Blossom, Raspberry","Musk, Praline, Moss"
Lemon Island,Atelier Cologne,Lemon,Indian Jasmine,Madagascar Vanilla
Cafe Pop,Cafe Parfums,"Pear, Freesia, Black Currant","Peony, Jasmine, Lily-of-the-valley","Musk, Sandalwood, Amber"
No 13 Fever,Arcadia,"Juniper, Pepper, Bergamot, Lemon","Pine Tree Needles, Incense, Orris","Vanilla, Sandalwood, Amber"
Princesse De Coeur,Laurent Mazzone Parfums,"Aldehydes, Carrot, Bergamot","Rose, Iris, Amberwood","Musk, Moss, Vetiver"
Mango Touch,Patrice Martin,"Mango, Grapefruit, Water Notes","Peach, Raspberry","Musk, Vanilla"
Oltre,Tonatto Profumi,Pine,Lily-of-the-valley,"Seaweed, Musk"
Minsk,Thera Cosmeticos,"Bergamot, Mandarin Orange, Orange","Rosemary, Pepper, Palisander Rosewood","Musk, Woodsy Notes, Incense"
Cafe Vert,Il Profvmo,"Grapefruit, Mandarin Orange","Cyclamen, Geranium, Jasmine",Coffee
Sheer Delight,Betty Barclay,"Italian Lemon, Mandarin Orange, Pear","Peony, Orange Blossom, Lily-of-the-valley","Musk, Resins, Amber"
Instinct Forbidden,Avon,Lemon Peel,"Red Berries, Gardenia, Violet",Tahitian Vanilla
Today Tomorrow Always Diamond,Avon,"Hyacinth, African Orange Flower, Stephanotis","Narcissus, Orchid, Arum Lily","Musk, Vetyver, Palisander Rosewood"
Quixotic,Amway,"Grapefruit, Aldehydes, Green Notes, Geranium, Pepper","Lemon, Jasmine, Lily-of-the-valley, Apricot, Freesia, Birch Leaf, Cardamom, Rose","Mate, Vetyver, Sandalwood"
Jacqueline,Gritti,"Green Almond, Mate, Green Notes","Lavender, Violet Leaves, Freesia","Musk, Vanilla, Tonka Bean"
Oud Mood Elixir,Lattafa Perfumes,"Saffron, Nutmeg, Cinnamon","Agarwood (oud), Suede, Sandalwood","Amber, Vanilla"
The Italian Artists of Via Solferino,Trussardi,"Yuzu, Mate, Mineral Notes","Magnolia, Peony, Osmanthus, Ginger","Suede, Heliotrope, Patchouli"
Don T Tell Jasmine,Vilhelm Parfumerie,"Lemon, Kir Royal",Jasmine,Musk
Friends World for Him,Oriflame,Clary Sage,Ivy,Tonka Bean
In Red Blooming Passion,Armand Basi,"Red Apple, Red Fruits, Rhubarb, Mango","Jasmine, Violet, Lily-of-the-valley","White Chocolate, White Musk, Sandalwood, Tonka Bean"
Te Verde,Adolfo Dominguez,"Tea, Bamboo, Yuzu, Mint","African Orange Flower, Cardamom, Holly, Coriander, Freesia","Oak Moss, Guaiac Wood, Amber"
Paradise Flowers,Bi Es,"Black Currant, Bergamot",Jasmine,Musk
Charmante,Faberlic,"Black Currant, Mandarin Leaf, Orange, Pitahaya, Pear","Rose, Jasmine, Raspberry","Cedar, Musk, Amber"
Fortunata,Faberlic,"Red Apple, Calabrian Mandarin","Cherry, Orris Root, Orchid, Gardenia, Rose","Almond, Vanilla, Tonka Bean, Patchouli, White Musk"
Mon Roi,Faberlic,"Lavender, Mango, Pineapple, Bergamot, Lemon, Mandarin Orange","Fruity Notes, Mint, Violet, Cloves, Geranium, Carnation, Jasmine, Rose","Sandalwood, Oakmoss, Palisander Rosewood, Patchouli, Cedar"
Kaori,Faberlic,"Sea Water, Black Currant Leaf, Bamboo, Bergamot, Grapefruit","Water Lily, Cherry Blossom, Magnolia, Tea Rose","Raspberry, Musk, Iris, Vetiver, Amber"
Amazing,Bill Blass,"Peach, Mandarin Orange","Water Lily, Lily-of-the-valley, Tuberose, Rose","Mimosa, Musk, Sandalwood"
Realist,Contradictions in Ilk,"Lemon, Bergamot, Yuzu, Pepper","Petitgrain, Sea Notes, Cedar, Black Tea, Rose","Vetiver, Hinoki Wood, Incense, Amber, Immortelle"
Black Lace,Dana,"Tea, Bergamot, Red Berries","Rose, Violet, Water Lily, Cyclamen, African Orange Flower","Ebony Wood, Woodsy Notes, Sandalwood, Lilac"
Symphonie D Amour,Maissa Parfums,"Black Currant, Apple, Orange, Bergamot, Lemon","Caramel, White Woods, Mint, Jasmine, Anise, Green Notes","Musk, Vanilla, Amber"
Bukhoor,Thomas Kosmala,Woody Notes,Smoke,"Agarwood (oud), Amber, Musk"
Kasar,Teo Cabanel,Citruses,"Saffron, Nutmeg, Cinnamon","Leather, Agarwood (oud), Labdanum, Cedar, Patchouli, Musk"
Refocus,M Int,"Aldehydes, Incense","Patchouli, Guaiac Wood, Cedar","Musk, Labdanum, Suede, Sandalwood"
Fougere,Jovoy Paris,"Lime, Basil","Pineapple, Neroli, Geranium","Oakmoss, Sandalwood, Tonka Bean"
Dilis Classic Collection No 1,Dilis Parfum,"Violet, Jasmine, Narcissus, Lily-of-the-valley, Rose, Bergamot, Peach","Aldehydes, Rosemary, Tuberose","Musk, Vetiver, Civetta, Bamboo, Tonka Bean, Amber, Sandalwood"
Homme,Avon,"Coriander, Citruses, Cardamom",Iris,"Cedar, Vetiver"
Secret Fantasy Kiss,Avon,"Blackberry, Mango, Green Apple","Magnolia, Rose Petals, Violet","Amber, Sandalwood, Moss"
Vanille Malika,Chopard,"Incense, Pink Pepper, Litchi","Bourbon Vanilla, Madagascar Vanilla","Opoponax, Sandalwood, Cashmeran"
Liquide 2020,Les Liquides Imaginaires,"Black Pepper, Bergamot, Cardamom, Labdanum","Henna, Metallic Notes, Ozonic Notes, Iris","Suede, Animal Notes, Cedar, Saffron"
Glacier,Oriflame,"Mint, Lemon, Bergamot, Watermelon, Pineapple","Lavender, Rosemary, Woody Notes, Tarragon, Juniper, Black Currant","Musk, Suede, Tobacco, Sandalwood, Vetiver, Amber"
Casual 2 Oksana Robski,Brocard,"Green Notes, Citruses, Orange","Ylang-ylang, Jasmine, Rose","Palisander Rosewood, Heliotrope, Musk, Amber"
Tantra Tantra,Brocard,"Orange, Bergamot","Jasmine, Rose","Vanilla, Musk, Vetiver"
Athena,Aaron Terence Hughes,"Neroli, Coconut, Peach","Cherry, Dark Chocolate, Jasmine","Sandalwood, Musk"
Jardin De Bali,Id Parfums,"Cloves, Bergamot","Tuberose, Ylang-ylang","Licorice, Vanilla, Benzoin"
Ungaro for Her,Emanuel Ungaro,"Grapefruit, Mandarin Orange, Pink Pepper","Rose, Jasmine, Hibiscus","Vanilla, Heliotrope, Cedar"
Clean Fragrance,Clean,"Lime, Pink Grapefruit, Orange, Bergamot, Orange Blossom, Wild Berries","Lavender, Lily, Violet, Jasmine, Passion Flower, Damask Rose","White Musk, Geranium, Heliotrope"
Kenzo World,Kenzo,Red Fruits,"Peony, Floral Notes, Egyptian Jasmine",Ambroxan
Under the Stars,Maison Martin Margiela,Black Pepper,Leather,"Agarwood (oud), Labdanum"
Leader,Oriflame,Clary Sage,Lavender,Red Cedar
All or Nothing Unique Accord 1,Oriflame,"Freesia, Jasmine, Peony","Musk, Floral Notes, Whipped Cream","Heliotrope, White Woods, Sandalwood"
Lovely Me,Liu Jo,"Apple, Raspberry, Bergamot","Jasmine, Tuberose, Orange Blossom","Popcorn, Cedar, Ambroxan"
The Queen of Spades Classic,Brocard,"Melon, Magnolia, Citruses","Lily-of-the-valley, Jasmine, Violet","Woody Notes, Musk, Orchid"
Un Jardin Mystique,Brocard,"Citron, Mint, Bergamot, Marigold, Mandarin Orange","Lily-of-the-valley, Magnolia, Rose","Woody Notes, Musk, Vetiver, Sandalwood"
Berriessence,Brocard,"Forest Fruits, Blackberry, Litchi","Sorbet, Raspberry, Violet, Rose Petals","Vanilla Sugar, Musk, Woody Notes"
Passiflora,Nest,Green Notes,Passion Flower,"Hyacinth, Lily-of-the-valley"
Supergreen,Coquillete,"Mint, Geranium, Cloves, Lemon, Damask Rose","Peony, Sandalwood, Saffron, Berry Fruits, Amber, Incense","Vetiver, Musk, White Musk, Cedar"
Rosso Epicureo,Jacques Fath,"Plum, Black Currant, Sichuan Pepper, Artemisia, Bitter Orange, Bergamot","Tuberose, Ylang-ylang, Damask Rose, Orange Blossom, Jasmine","Vanilla, Patchouli, Musk, Amber"
Donna Blooming Flowers,Sergio Tacchini,"Peony, Lily-of-the-valley","Iris, Jasmine","Lilac, Gardenia"
Sol La,Reminiscence,"Italian Lemon, Pine Tree, Rosemary, Eucalyptus, Orange, Lavender, Sicilian Bergamot, Neroli Essence","Petitgrain, Pink Pepper, Ylang-ylang","Pear, Patchouli, Vanilla"
Osmo Scents Encens Epice,Il Profvmo,Resin,"Spicy Notes, Tobacco","Olibanum, Woodsy Notes"
Corvina Negra,Fueguia 1833,Violet,Seaweed,Salt
Morning Star,Cosmogony,"Plum, Blackberry, Mandarin Orange","Osmanthus, Creamy Flowers, Rose, Jasmine, Tuberose","Musk, Patchouli, Sandalwood, Ambergris"
Gelsomino Notturno,Bottega Verde,"Raspberry, Pear, Strawberry, Bergamot","Night Blooming Jasmine, Peony","Patchouli, Amber, Musk"
Crystal Love for Him,Attar Collection,"Bergamot, Vanilla, Orange","Musk, Ice Cream, Cherry","Ambergris, Leather, Patchouli"
V for Victory Gold,Avon,Madagascar Pepper,Coriander Extract,Vetiver
Powerful Flowers Lila,Avon,Green Notes,Lily,Musk
Ck Free Blue,Calvin Klein,"Lavender, Mint, Mandarin Orange","Water Notes, Green Notes, Cardamom, Nutmeg","Musk, Amber, Leather"
Red Door,Elizabeth Arden,"Rose, Orange Blossom, Plum, Violet, Peach, Anise","Honey, Carnation, Rose, Tuberose, Ylang-ylang, Jasmine, Lily, Lily-of-the-valley, Freesia, Orchid","Sandalwood, Amber, Benzoin, Musk, Heliotrope, Vetiver, Cedar"
Givenchy Pour Homme Silver Edition,Givenchy,"Elemi, Bergamot, Grapefruit","Sequoia, Violet Leaf","Vetiver, Tonka Bean, Patchouli"
Lail Maleki,Lattafa Perfumes,"Fruity Notes, Citruses, Spicy Notes","Jasmine, Honey, Gardenia, Orchid","Sandalwood, Musk, Amber, Caramel"
Bois Fuchsia,Les Parfums De Rosine,"Cassis, Iris","Raspberry, Litchi, Rose","Patchouli, Sandalwood, Musk"
Signorina Unica,Salvatore Ferragamo,"Mandarin Orange, Sea Notes, Sugar Cane, Bergamot","Violet, Cashmere Wood, Black Currant, Azalea","Vanilla, Tiramisu, Ambroxan, Tonka Bean, Patchouli"
